id;cadastrado_em;modificado_em;nome;posicao;numeracao;tipo;conta_pai_id;excluido;selecionavel;essencial
110025;2016-10-24 13:39:21.086702+00;2016-10-25 22:27:36.752393+00;AJUDA A REGIÃO EUROPÉIA - 1 REGIÃO;11201;1.12.01;E;110024;true;true;false
110026;2016-10-24 13:39:44.0931+00;2016-10-25 22:27:44.852219+00;AJUDA A REGIÃO EUROPÉIA - 6 REGIÃO;11202;1.12.02;E;110024;true;true;false
110099;2017-01-31 20:23:34.970962+00;2017-01-31 20:23:34.971001+00;Ação Social Local;10212;1.02.12;E;7;false;true;false
43;2016-09-13 23:30:35.159926+00;2016-10-25 17:14:57.60958+00;BANCO;108;1.08;E;1;false;false;false
222;2016-09-16 21:19:48.246821+00;2016-10-25 17:14:43.436331+00;BANCO - Empréstimos Contratados;10802;1.08.02;E;43;false;true;false
110074;2016-10-25 17:15:35.890669+00;2016-10-25 17:15:35.890712+00;BANCO - Estorno de Tarifas;10803;1.08.03;E;43;false;true;false
44;2016-09-13 23:30:53.019844+00;2017-02-08 20:04:00.235917+00;BANCO - Rendimentos de Aplicações Financeiras;10801;1.08.01;E;43;false;true;false
110005;2016-10-21 12:06:22.637876+00;2016-10-26 01:50:05.78337+00;COTA/OFERTA DAS REGIÕES;110;1.10;E;1;false;false;false
110007;2016-10-21 12:07:58.425396+00;2016-10-25 22:06:32.754224+00;COTA/OFERTA DAS REGIÕES - 2 Região;11002;1.10.02;E;110005;true;true;false
110008;2016-10-21 12:08:17.830112+00;2016-10-25 22:07:09.047294+00;COTA/OFERTA DAS REGIÕES - 3 Região;11003;1.10.03;E;110005;true;true;false
110009;2016-10-21 12:08:47.192363+00;2016-10-25 22:07:16.317521+00;COTA/OFERTA DAS REGIÕES - 4 Região;11004;1.10.04;E;110005;true;true;false
110010;2016-10-21 12:09:11.099745+00;2016-10-25 22:07:23.466106+00;COTA/OFERTA DAS REGIÕES - 5 Região;11005;1.10.05;E;110005;true;true;false
110011;2016-10-21 12:09:54.269309+00;2016-10-25 22:07:30.262044+00;COTA/OFERTA DAS REGIÕES - 6 Região;11006;1.10.06;E;110005;true;true;false
110012;2016-10-21 12:11:01.402202+00;2016-10-25 22:07:36.50528+00;COTA/OFERTA DAS REGIÕES - 7 Região;11007;1.10.07;E;110005;true;true;false
110013;2016-10-21 12:11:51.862871+00;2016-10-25 22:07:44.686517+00;COTA/OFERTA DAS REGIÕES - 8 Região;11008;1.10.08;E;110005;true;true;false
110006;2016-10-21 12:07:14.664179+00;2016-10-26 01:56:21.018472+00;COTA/OFERTA DAS REGIÕES - Ajuda a Clérigos Jubilados;11001;1.10.01;E;110005;false;true;false
110089;2016-10-26 01:54:44.762874+00;2016-10-26 01:56:34.390798+00;COTA/OFERTA DAS REGIÕES - Ajuda a Clérigos Jubilados;11003;1.10.031;E;110005;true;true;false
110024;2016-10-24 13:37:11.80559+00;2016-10-26 01:54:00.282546+00;COTA/OFERTA DAS REGIÕES - Manutenção de Regiões;11002;1.10.02;E;110005;false;true;false
110014;2016-10-21 12:14:09.619138+00;2016-10-25 22:07:54.499212+00;COTA/OFERTA DAS REGIÕES - Região Europeia;11030;1.10.30;E;110005;true;true;false
110017;2016-10-24 13:21:40.344744+00;2016-10-25 17:11:36.631801+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS;111;1.11;E;1;true;false;false
110023;2016-10-24 13:24:53.91124+00;2016-10-25 17:11:29.047327+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - AGEMIW - Agência Missionária Wesleyana;11120;1.11.20;E;110017;true;true;false
110020;2016-10-24 13:23:21.061145+00;2016-10-25 17:11:56.335458+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - SGA - Secretaria Geral de Administração;11103;1.11.03;E;110017;true;true;false
110022;2016-10-24 13:24:19.347776+00;2016-10-25 17:12:09.098678+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - SGAS - Secretaria Geral de Ação Social;11105;1.11.05;E;110017;true;true;false
110018;2016-10-24 13:22:31.814776+00;2016-10-25 17:11:43.050262+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - SGEC - Secretaria Geral de Educação Cristã;11101;1.11.01;E;110017;true;true;false
110021;2016-10-24 13:23:52.335768+00;2016-10-25 17:12:15.704683+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - SGF - Secretaria Geral de Finanças;11104;1.11.04;E;110017;true;true;false
110019;2016-10-24 13:22:54.322522+00;2016-10-25 17:11:49.425516+00;COTA/OFERTA DAS SECRETARIAS E  ÓRGÃOS GERAIS - SGM - Secretaria Geral de Missões;11102;1.11.02;E;110017;true;true;false
5;2016-09-13 21:38:59.077984+00;2016-09-19 18:38:34.906146+00;Dizimo dos Congregados;10102;1.01.02;E;3;false;true;false
4;2016-09-13 21:38:12.836648+00;2016-10-25 16:37:29.790359+00;Dizimo dos Membros;10101;1.01.01;E;3;false;true;true
3;2016-09-13 21:12:06.908998+00;2016-10-26 01:58:52.648503+00;DÍZIMOS;101;1.01;E;1;false;false;false
6;2016-09-13 23:11:26.375518+00;2022-02-18 12:45:14.423557+00;Dízimo dos Clérigos;10103;1.01.03;E;3;false;false;false
