id;cadastrado_em;modificado_em;excluido;codigo_host;data_nomeacao;data_termino;hist_distrito_id;hist_geral_id;hist_igreja_id;hist_orgao_id;hist_regiao_id;hist_secretaria_id;instituicao_id;pessoa_id;funcao_ministerial_id
5493;2021-05-27 17:14:44.719561+00;2021-05-27 17:21:06.132508+00;false;\0;06/01/2007;05/12/2010;\0;\0;\0;2753;\0;\0;2753;232;9
5494;2021-05-27 17:23:27.9612+00;2021-05-27 17:23:27.961245+00;false;\0;05/12/2010;09/12/2012;1801;\0;2186;\0;18;\0;2186;232;8
5495;2021-05-27 17:25:53.339735+00;2021-05-27 17:25:53.339785+00;false;\0;28/11/2020;\0;1796;\0;2072;\0;18;\0;2072;232;18
5496;2021-05-27 19:56:36.065114+00;2021-05-27 19:56:36.065163+00;false;\0;09/12/2012;14/12/2014;1798;\0;\0;\0;18;\0;1798;1208;12
5497;2021-05-27 19:59:36.885828+00;2021-05-27 19:59:36.88587+00;false;\0;14/12/2014;10/12/2016;1796;\0;\0;\0;18;\0;1796;1208;25
5499;2021-05-31 14:17:43.212598+00;2021-05-31 14:17:43.212678+00;false;\0;28/11/2020;\0;1797;\0;2341;\0;18;\0;2341;136;21
5489;2021-05-27 15:23:15.915758+00;2021-05-31 14:21:25.111423+00;false;\0;03/01/2017;\0;1801;\0;2186;\0;18;\0;2186;1239;24
4873;2020-11-18 14:49:03.433742+00;2021-05-31 15:21:11.525425+00;false;\0;03/01/2017;\0;1801;\0;2186;\0;18;\0;2186;1246;9
2586;2016-11-11 19:04:05.455705+00;2021-05-31 18:38:20.94225+00;false;3290;14/12/2014;10/12/2016;1880;\0;2091;\0;18;\0;2091;1490;23
3175;2017-01-09 16:44:13.433121+00;2021-05-31 19:32:48.743824+00;false;\0;08/12/2013;10/12/2016;1800;\0;2174;\0;18;\0;2174;1638;12
5500;2021-05-31 20:01:51.787267+00;2021-05-31 20:01:51.787309+00;false;\0;07/12/2008;04/12/2011;1801;\0;\0;\0;18;\0;1801;238;27
5490;2021-05-27 15:27:08.546695+00;2021-06-01 14:37:26.436009+00;false;\0;09/12/2012;10/12/2016;1795;\0;\0;\0;18;\0;1795;1239;25
2044;2016-11-11 19:03:54.438462+00;2021-06-01 14:38:23.741865+00;false;2840;10/12/2016;06/12/2017;1795;\0;2194;\0;18;\0;2194;1239;24
1489;2016-11-11 19:03:42.332134+00;2021-06-01 17:28:45.829902+00;false;1635;10/01/2000;12/12/2004;1800;\0;2190;\0;18;\0;2190;205;8
5501;2021-06-02 13:29:05.752753+00;2021-06-02 13:29:05.75282+00;false;\0;10/12/2016;01/12/2018;1796;\0;2072;\0;18;\0;2072;1490;23
5502;2021-06-02 13:36:29.67569+00;2021-06-02 13:36:29.67573+00;false;\0;01/12/2018;28/11/2020;1796;\0;\0;\0;18;\0;1796;1490;25
5503;2021-06-02 14:17:54.194007+00;2021-06-02 14:19:00.268699+00;false;\0;09/12/2012;10/12/2016;1803;\0;2182;\0;18;\0;2182;1595;13
5504;2021-06-02 17:03:12.939189+00;2021-06-02 17:04:10.62578+00;false;\0;08/12/2002;12/12/2004;1796;\0;2130;\0;18;\0;2130;190;20
5505;2021-06-02 17:06:59.605892+00;2021-06-02 17:06:59.605932+00;false;\0;12/12/2004;07/12/2008;1796;\0;2130;\0;18;\0;2130;190;10
5506;2021-06-02 17:07:54.495397+00;2021-06-02 17:07:54.49544+00;false;\0;07/12/2008;05/12/2010;1880;\0;2082;\0;18;\0;2082;190;8
813;2016-11-11 19:03:26.80104+00;2021-06-02 17:10:54.941376+00;false;863;05/12/2010;01/12/2018;1795;\0;2080;\0;18;\0;2080;190;8
5507;2021-06-02 17:20:07.046525+00;2021-06-02 17:20:07.046593+00;false;\0;14/12/2014;10/12/2016;1796;\0;2662;\0;18;\0;2662;1655;13
5508;2021-06-02 17:23:06.65153+00;2021-06-02 17:23:06.651579+00;false;\0;28/11/2020;\0;1796;\0;2662;\0;18;\0;2662;1655;22
5509;2021-06-02 17:27:15.691872+00;2021-06-02 17:27:15.691927+00;false;\0;08/12/2013;14/12/2014;1795;\0;2080;\0;18;\0;2080;1591;13
5510;2021-06-02 17:30:43.988683+00;2021-06-02 17:30:43.988751+00;false;\0;14/12/2014;10/12/2016;1795;\0;2080;\0;18;\0;2080;1591;20
5511;2021-06-02 17:33:06.235552+00;2021-06-02 17:33:06.235594+00;false;\0;10/12/2016;01/12/2018;1796;\0;2662;\0;18;\0;2662;1591;19
5513;2021-06-02 17:37:27.209098+00;2021-06-02 17:37:27.209136+00;false;\0;28/11/2020;\0;1795;\0;2080;\0;18;\0;2080;1622;23
5514;2021-06-02 17:51:44.073247+00;2021-06-02 17:53:18.525291+00;false;\0;09/12/2012;06/12/2015;1863;\0;\0;\0;18;\0;1863;1204;25
5515;2021-06-02 17:55:10.242425+00;2021-06-02 17:55:10.242482+00;false;\0;07/12/2008;09/12/2012;1801;\0;\0;\0;18;\0;1801;1204;25
5516;2021-06-02 17:56:13.463202+00;2021-06-02 17:56:13.463271+00;false;\0;01/12/2018;\0;1863;\0;\0;\0;18;\0;1863;1204;25
5517;2021-06-02 18:00:40.213491+00;2021-06-02 18:00:40.213564+00;false;\0;05/12/2015;10/12/2016;1797;\0;\0;\0;18;\0;1797;1204;25
131;2016-11-11 19:03:11.52082+00;2021-06-03 12:57:09.635857+00;false;13;04/12/2008;05/12/2010;1801;\0;2087;\0;18;\0;2087;184;9
5518;2021-06-03 12:58:32.425546+00;2021-06-03 12:58:32.425593+00;false;\0;05/12/2010;17/03/2017;1801;\0;2087;\0;18;\0;2087;184;8
36;2016-11-11 19:02:41.370265+00;2021-06-03 13:00:43.298525+00;false;\0;09/12/2012;17/03/2017;1801;\0;\0;\0;18;\0;1801;184;6
3444;2017-04-04 16:30:06.813362+00;2021-06-03 13:36:55.948975+00;false;\0;17/03/2017;08/11/2020;1803;\0;2201;\0;18;\0;2201;184;8
691;2016-11-11 19:03:23.878313+00;2021-06-03 13:43:07.21005+00;false;3008;12/05/2013;05/12/2014;1801;\0;2195;\0;18;\0;2195;184;18
2952;2017-01-03 03:31:42.245456+00;2023-01-02 21:01:08.230476+00;false;\0;21/11/2020;17/09/2022;1833;\0;2157;\0;22;\0;2157;943;20
1518;2016-11-11 19:03:42.974508+00;2023-01-06 20:25:59.367253+00;false;1680;15/12/2012;26/11/2022;1833;\0;2157;\0;22;\0;2157;157;8
5463;2021-05-18 11:46:16.573719+00;2023-01-06 20:26:34.05565+00;false;\0;21/11/2020;26/11/2022;1833;\0;2848;\0;22;\0;2848;157;\0
5459;2021-05-11 20:16:19.447882+00;2023-01-18 13:32:32.216679+00;false;\0;10/05/2021;09/12/2022;1808;\0;2675;\0;19;\0;2675;973;19
5460;2021-05-11 20:18:02.123421+00;2023-01-18 13:39:12.688984+00;false;\0;10/05/2021;09/12/2022;2772;\0;2461;\0;19;\0;2461;1188;19
5461;2021-05-11 20:20:49.215327+00;2023-01-18 13:43:36.315397+00;false;\0;10/05/2021;09/12/2022;2772;\0;2461;\0;19;\0;2461;2176;23
5491;2021-05-27 15:36:15.401264+00;2023-01-18 15:16:33.940561+00;false;\0;03/05/2021;09/12/2022;1834;\0;2350;\0;19;\0;2350;2169;20
5520;2021-06-03 15:18:23.0233+00;2021-06-03 15:18:23.023344+00;false;\0;08/12/2002;12/12/2004;1801;\0;2195;\0;18;\0;2195;221;27
5521;2021-06-03 15:19:43.035483+00;2021-06-03 15:19:43.035555+00;false;\0;12/12/2004;06/01/2007;1801;\0;2195;\0;18;\0;2195;221;13
5522;2021-06-03 15:21:47.809879+00;2021-06-03 15:21:47.809953+00;false;\0;06/01/2007;05/12/2010;1801;\0;2195;\0;18;\0;2195;221;20
1125;2016-11-11 19:03:33.834876+00;2021-06-03 15:23:57.961938+00;false;1179;05/12/2010;14/12/2014;1801;\0;2360;\0;18;\0;2360;221;19
5523;2021-06-03 16:34:39.59921+00;2021-06-03 16:34:39.59927+00;false;\0;14/12/2014;01/12/2018;1801;\0;2360;\0;18;\0;2360;221;8
5525;2021-06-03 16:41:53.548869+00;2021-06-03 16:43:38.295002+00;false;\0;06/01/2007;07/12/2008;1795;\0;2127;\0;18;\0;2127;251;27
5526;2021-06-03 16:45:11.145603+00;2021-06-03 16:45:11.145678+00;false;\0;07/12/2008;05/12/2010;1795;\0;2127;\0;18;\0;2127;251;13
1128;2016-11-11 19:03:33.899437+00;2021-06-03 16:50:04.623714+00;false;1182;05/12/2010;28/11/2020;1795;\0;2127;\0;18;\0;2127;251;23
5527;2021-06-03 17:13:35.225218+00;2021-06-03 17:13:35.225262+00;false;\0;08/12/2002;06/01/2007;1801;\0;2128;\0;18;\0;2128;220;13
5528;2021-06-03 17:33:13.597474+00;2021-06-03 17:33:13.597551+00;false;\0;07/12/2008;05/12/2010;1801;\0;2360;\0;18;\0;2360;220;19
1126;2016-11-11 19:03:33.857843+00;2021-06-03 17:37:27.262482+00;false;1180;05/12/2010;10/12/2016;1796;\0;2130;\0;18;\0;2130;220;20
5529;2021-06-03 17:40:29.489548+00;2021-06-03 17:40:29.489589+00;false;\0;10/12/2016;04/05/2017;1801;\0;2087;\0;18;\0;2087;220;23
5530;2021-06-03 18:17:48.360161+00;2021-06-03 18:17:48.360211+00;false;\0;01/12/2018;\0;1794;\0;2367;\0;18;\0;2367;1220;19
5531;2021-06-03 19:12:02.430283+00;2021-06-03 19:12:02.430357+00;false;\0;08/12/2002;12/12/2004;1796;\0;2138;\0;18;\0;2138;215;27
5532;2021-06-03 19:13:18.844258+00;2021-06-03 19:13:18.844329+00;false;\0;12/12/2004;06/01/2007;1796;\0;2138;\0;18;\0;2138;215;13
5533;2021-06-03 19:14:45.153922+00;2021-06-03 19:14:45.153966+00;false;\0;06/01/2007;07/12/2008;1796;\0;2138;\0;18;\0;2138;215;9
5535;2021-06-03 19:22:16.407746+00;2021-06-03 19:22:16.407797+00;false;\0;05/12/2010;09/12/2012;1801;\0;\0;\0;18;\0;1801;215;25
5536;2021-06-03 19:25:02.282596+00;2021-06-03 19:25:02.282667+00;false;\0;09/12/2012;14/12/2014;1863;\0;\0;\0;18;\0;1863;215;25
5534;2021-06-03 19:20:13.454237+00;2021-06-03 19:25:37.76075+00;false;\0;07/12/2008;14/12/2014;\0;\0;\0;\0;18;2721;2721;215;9
