id;cadastrado_em;modificado_em;excluido;data_hora;total_entradas;total_saidas;saldo_anterior;saldo_final;estorno;auditado;caixa_id;instituicao_id;ano;mes;total_transf_entradas;total_transf_saidas;aux_data_hora;aux_saldo_anterior;aux_saldo_final;aux_total_entradas;aux_total_saidas;aux_total_transf_entradas;aux_total_transf_saidas
213409;2024-01-16 00:28:06.610391+00;2024-01-16 00:28:06.610445+00;false;2023-12-01 03:00:00+00;3559,9;2833,26;3505,55;4232,19;false;false;5660;2839;2023;12;0;0;\0;0;0;0;0;0;0
213410;2024-01-16 00:28:06.62854+00;2024-01-16 00:28:06.628586+00;false;2023-12-01 03:00:00+00;7781,79;7930,68;1545,9;1397,01;false;false;6006;2839;2023;12;0;0;\0;0;0;0;0;0;0
213411;2024-01-16 00:31:04.512219+00;2024-01-16 00:31:04.512255+00;false;2023-12-01 03:00:00+00;13353,62;11136,77;10947,1;13163,95;false;false;6153;2863;2023;12;0;0;\0;0;0;0;0;0;0
213412;2024-01-16 00:31:04.520052+00;2024-01-16 00:31:04.520083+00;false;2023-12-01 03:00:00+00;1916,8;1584,97;1680,27;2012,1;false;false;6154;2863;2023;12;0;0;\0;0;0;0;0;0;0
213413;2024-01-16 00:31:30.096748+00;2024-01-16 00:31:30.096797+00;false;2023-12-01 03:00:00+00;4182,5;4368,4;290,56;104,66;false;false;2031;1992;2023;12;0;0;\0;0;0;0;0;0;0
213414;2024-01-16 00:31:30.106762+00;2024-01-16 00:31:30.106794+00;false;2023-12-01 03:00:00+00;235,75;254,5;21,74;2,99;false;false;3041;1992;2023;12;0;0;\0;0;0;0;0;0;0
213415;2024-01-16 00:31:30.115794+00;2024-01-16 00:31:30.115839+00;false;2023-12-01 03:00:00+00;0;0;2;2;false;false;3042;1992;2023;12;0;0;\0;0;0;0;0;0;0
213416;2024-01-16 00:31:30.124765+00;2024-01-16 00:31:30.124811+00;false;2023-12-01 03:00:00+00;0;0;4,39;4,39;false;false;3453;1992;2023;12;0;0;\0;0;0;0;0;0;0
213417;2024-01-16 00:31:30.134416+00;2024-01-16 00:31:30.134469+00;false;2023-12-01 03:00:00+00;0;0;1937,96;1937,96;false;false;3565;1992;2023;12;0;0;\0;0;0;0;0;0;0
213461;2024-01-16 00:41:43.853627+00;2024-01-16 00:41:43.85366+00;false;2023-12-01 03:00:00+00;959;1390,88;448,23;16,35;false;false;2653;2614;2023;12;0;0;\0;0;0;0;0;0;0
213462;2024-01-16 00:42:48.777366+00;2024-01-16 00:42:48.777399+00;false;2023-12-01 03:00:00+00;14251,79;16213,54;93,69;0;false;false;1975;1936;2023;12;2406,22;538,16;\0;0;0;0;0;0;0
213463;2024-01-16 00:42:48.787032+00;2024-01-16 00:42:48.787067+00;false;2023-12-01 03:00:00+00;2302,85;1170,72;2000;1667,07;false;false;2975;1936;2023;12;538,16;2003,22;\0;0;0;0;0;0;0
213464;2024-01-16 00:42:48.794356+00;2024-01-16 00:42:48.794385+00;false;2023-12-01 03:00:00+00;2933,6;2820,66;290,06;0;false;false;2976;1936;2023;12;0;403;\0;0;0;0;0;0;0
213465;2024-01-16 00:42:48.800575+00;2024-01-16 00:42:48.800601+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3905;1936;2023;12;0;0;\0;0;0;0;0;0;0
213466;2024-01-16 00:42:48.808363+00;2024-01-16 00:42:48.808403+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;5339;1936;2023;12;0;0;\0;0;0;0;0;0;0
213467;2024-01-16 00:50:39.108469+00;2024-01-16 00:50:39.108516+00;false;2023-12-01 03:00:00+00;14466,31;14453,72;120,29;132,88;false;false;4737;2351;2023;12;0;0;\0;0;0;0;0;0;0
213468;2024-01-16 00:50:39.117174+00;2024-01-16 00:50:39.117229+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;2390;2351;2023;12;0;0;\0;0;0;0;0;0;0
213469;2024-01-16 00:50:39.126488+00;2024-01-16 00:50:39.126529+00;false;2023-12-01 03:00:00+00;0;0;122,18;122,18;false;false;4249;2351;2023;12;0;0;\0;0;0;0;0;0;0
213470;2024-01-16 00:50:39.134189+00;2024-01-16 00:50:39.134228+00;false;2023-12-01 03:00:00+00;0;0;8987,2;8987,2;false;false;4250;2351;2023;12;0;0;\0;0;0;0;0;0;0
213471;2024-01-16 00:52:04.032888+00;2024-01-16 00:52:04.03292+00;false;2023-12-01 03:00:00+00;7836,54;8669,72;1464,3;631,12;false;false;2081;2042;2023;12;0;0;\0;0;0;0;0;0;0
213472;2024-01-16 00:56:42.619747+00;2024-01-16 00:56:42.619781+00;false;2023-12-01 03:00:00+00;260901,8;248706,65;5833,92;18029,07;false;false;2348;2309;2023;12;0;0;\0;0;0;0;0;0;0
213473;2024-01-16 00:56:42.630283+00;2024-01-16 00:56:42.630314+00;false;2023-12-01 03:00:00+00;3319,35;1902,65;0;1416,7;false;false;2927;2309;2023;12;0;0;\0;0;0;0;0;0;0
213474;2024-01-16 00:56:42.636961+00;2024-01-16 00:56:42.636988+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4117;2309;2023;12;0;0;\0;0;0;0;0;0;0
213475;2024-01-16 00:56:42.642899+00;2024-01-16 00:56:42.642927+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4371;2309;2023;12;0;0;\0;0;0;0;0;0;0
213476;2024-01-16 01:01:26.439809+00;2024-01-16 01:01:26.439855+00;false;2023-12-01 03:00:00+00;12802,68;13801,09;28853,16;27854,75;false;false;2034;1995;2023;12;0;0;\0;0;0;0;0;0;0
213477;2024-01-16 01:01:26.45193+00;2024-01-16 01:01:26.451977+00;false;2023-12-01 03:00:00+00;265;320;6584,15;6529,15;false;false;4237;1995;2023;12;0;0;\0;0;0;0;0;0;0
213478;2024-01-16 01:01:26.46036+00;2024-01-16 01:01:26.460391+00;false;2023-12-01 03:00:00+00;110;0;21597,29;21707,29;false;false;4238;1995;2023;12;0;0;\0;0;0;0;0;0;0
213479;2024-01-16 01:01:26.467507+00;2024-01-16 01:01:26.467548+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4236;1995;2023;12;0;0;\0;0;0;0;0;0;0
213480;2024-01-16 01:06:44.33115+00;2024-01-16 01:06:44.331187+00;false;2023-12-01 03:00:00+00;52759,19;37255,28;105437,05;122251,46;false;false;2311;2272;2023;12;1310,5;0;\0;0;0;0;0;0;0
213481;2024-01-16 01:06:44.338377+00;2024-01-16 01:06:44.338405+00;false;2023-12-01 03:00:00+00;6897,35;4548,18;13968,66;15007,33;false;false;2872;2272;2023;12;0;1310,5;\0;0;0;0;0;0;0
213482;2024-01-16 01:06:44.344445+00;2024-01-16 01:06:44.344482+00;false;2023-12-01 03:00:00+00;0;11000;11000;0;false;false;4318;2272;2023;12;0;0;\0;0;0;0;0;0;0
213483;2024-01-16 01:06:44.350351+00;2024-01-16 01:06:44.350375+00;false;2023-12-01 03:00:00+00;0;123309,72;123309,72;0;false;false;4321;2272;2023;12;0;0;\0;0;0;0;0;0;0
213530;2024-01-16 01:24:08.560517+00;2024-01-16 01:24:08.560547+00;false;2023-12-01 03:00:00+00;6713,31;5960,14;284,55;1037,72;false;false;2005;1966;2023;12;0;0;\0;0;0;0;0;0;0
213531;2024-01-16 01:24:08.567652+00;2024-01-16 01:24:08.567679+00;false;2023-12-01 03:00:00+00;0;0;0,31;0,31;false;false;6201;1966;2023;12;0;0;\0;0;0;0;0;0;0
213532;2024-01-16 01:26:48.89651+00;2024-01-16 01:26:48.896543+00;false;2023-12-01 03:00:00+00;15676,75;20142,19;70475,53;66010,09;false;false;5149;2796;2023;12;0;0;\0;0;0;0;0;0;0
213565;2024-01-16 01:48:35.536961+00;2024-01-16 01:48:35.537007+00;false;2023-12-01 03:00:00+00;762;952,85;441,7;250,85;false;false;2507;2468;2023;12;0;0;\0;0;0;0;0;0;0
213582;2024-01-16 01:49:42.512746+00;2024-01-16 01:49:42.512785+00;false;2023-12-01 03:00:00+00;100;0;23,26;123,26;false;false;2119;2080;2023;12;0;0;\0;0;0;0;0;0;0
213583;2024-01-16 01:49:42.520863+00;2024-01-16 01:49:42.520891+00;false;2023-12-01 03:00:00+00;720893,33;720397,97;533,84;1029,2;false;false;6097;2080;2023;12;0;0;\0;0;0;0;0;0;0
213584;2024-01-16 01:49:42.526456+00;2024-01-16 01:49:42.526485+00;false;2023-12-01 03:00:00+00;39467,68;10620,74;38,13;28885,07;false;false;6100;2080;2023;12;0;0;\0;0;0;0;0;0;0
213585;2024-01-16 01:49:42.532664+00;2024-01-16 01:49:42.532694+00;false;2023-12-01 03:00:00+00;2810;889,46;271,19;2191,73;false;false;6102;2080;2023;12;0;0;\0;0;0;0;0;0;0
213586;2024-01-16 01:49:42.539089+00;2024-01-16 01:49:42.539124+00;false;2023-12-01 03:00:00+00;91508,11;91494,16;8443,72;8457,67;false;false;6103;2080;2023;12;0;0;\0;0;0;0;0;0;0
213587;2024-01-16 01:49:42.54563+00;2024-01-16 01:49:42.545659+00;false;2023-12-01 03:00:00+00;1090;248,42;217,22;1058,8;false;false;6104;2080;2023;12;0;0;\0;0;0;0;0;0;0
213588;2024-01-16 01:49:42.551644+00;2024-01-16 01:49:42.551671+00;false;2023-12-01 03:00:00+00;1662;1314,6;871,33;1218,73;false;false;6105;2080;2023;12;0;0;\0;0;0;0;0;0;0
213589;2024-01-16 01:49:42.556514+00;2024-01-16 01:49:42.556538+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3107;2080;2023;12;0;0;\0;0;0;0;0;0;0
213590;2024-01-16 01:49:42.562057+00;2024-01-16 01:49:42.562082+00;false;2023-12-01 03:00:00+00;0;0;614,48;614,48;false;false;3108;2080;2023;12;0;0;\0;0;0;0;0;0;0
